teamId,rank,medalCitation,problemsSolved,totalTime,lastProblemTime,siteCitation,citation
411408,33,"Honorable Mention",2,30,20,,
411420,31,"Honorable Mention",3,334,210,,
411401,26,"Bronze Prize",3,206,138,,
411111,44,"Honorable Mention",2,120,103,,
411073,23,"Bronze Prize",4,491,191,,
410747,35,"Honorable Mention",2,47,30,,
411261,11,"Silver Prize",6,694,215,,
411472,27,"Bronze Prize",3,225,129,,
411256,13,"Silver Prize",6,739,221,,
411034,22,"Bronze Prize",4,465,219,,
411264,41,"Honorable Mention",2,81,72,,
411998,30,"Honorable Mention",3,273,199,,
411158,7,"Silver Prize",6,634,205,,
411409,19,"Bronze Prize",5,547,204,,
411374,40,"Honorable Mention",2,71,63,,
410590,9,"Silver Prize",6,686,236,,
411423,45,"Honorable Mention",2,134,87,,
411373,38,"Honorable Mention",2,61,49,,
411480,28,"Honorable Mention",3,234,126,,
410588,4,"Gold Prize",6,486,194,,
410625,39,"Honorable Mention",2,70,47,,
411314,42,"Honorable Mention",2,86,53,,
412009,36,"Honorable Mention",2,61,40,,
411406,2,"Gold Prize",7,410,154,,
411471,24,"Bronze Prize",3,137,88,,
411128,1,"Gold Prize",8,682,182,,
410589,5,"Silver Prize",6,515,119,,
411412,20,"Bronze Prize",5,566,203,,
410716,10,"Silver Prize",6,692,174,,
410971,16,"Bronze Prize",5,360,204,,
411071,21,"Bronze Prize",5,767,206,,
411411,17,"Bronze Prize",5,406,171,,
411077,36,"Honorable Mention",2,61,40,,
412008,3,"Gold Prize",7,653,237,,
410688,18,"Bronze Prize",5,423,149,,
411129,34,"Honorable Mention",2,34,21,,
411400,29,"Honorable Mention",3,238,134,,
411852,15,"Bronze Prize",5,340,116,,
411112,43,"Honorable Mention",2,101,44,,
411313,14,"Bronze Prize",6,862,189,,
411468,25,"Bronze Prize",3,161,130,,
411410,12,"Silver Prize",6,711,211,,
411407,8,"Silver Prize",6,655,185,,
411132,6,"Silver Prize",6,591,231,,
411072,32,"Honorable Mention",3,388,169,,
