scoreboard	1
Providence University	411128	1	8	682	182	1	6	1	11	1	136	1	69	1	123	1	53	1	102	1	182
Ming Chuan University	411406	2	7	410	154	1	3	1	5	2	28	1	38	1	59	1	83	2	154	0	-1
Chang Jung Christian University	412008	3	7	653	237	1	8	1	15	1	30	1	42	5	183	1	58	1	237	0	-1
Fu Jen Catholic University	410588	4	6	486	194	1	10	1	16	4	-1	1	26	3	90	1	110	1	-1	1	194
Fu Jen Catholic University	410589	5	6	515	119	1	13	1	17	1	41	1	119	6	95	2	110	5	-1	0	-1
Tzu Chi University	411132	6	6	591	231	1	38	1	33	1	231	3	108	1	78	1	63	3	-1	0	-1
Fu Jen Catholic University	411158	7	6	634	205	1	11	1	16	2	205	3	51	3	178	1	73	0	-1	0	-1
Ming Chuan University	411407	8	6	655	185	1	7	1	15	3	129	1	164	2	95	1	185	0	-1	0	-1
Fu Jen Catholic University	410590	9	6	686	236	1	11	1	16	6	236	1	102	1	40	1	181	0	-1	0	-1
Fu Jen Catholic University	410716	10	6	692	174	1	20	1	16	2	89	3	106	4	174	1	167	0	-1	0	-1
Fu Jen Catholic University	411261	11	6	694	215	1	8	1	18	2	69	1	158	5	215	1	126	0	-1	0	-1
Ming Chuan University	411410	12	6	711	211	1	21	1	37	5	211	1	112	3	71	1	139	0	-1	0	-1
Yuan Ze University	411256	13	6	739	221	1	22	1	61	1	184	1	80	2	221	1	151	0	-1	0	-1
Tatung University	411313	14	6	862	189	1	17	1	21	8	140	1	164	3	189	1	151	4	-1	0	-1
Chang Jung Christian University	411852	15	5	340	116	1	45	1	55	1	25	1	116	1	99	1	-1	2	-1	0	-1
Providence University	410971	16	5	360	204	1	5	1	12	4	-1	1	64	1	204	1	75	0	-1	0	-1
Ming Chuan University	411411	17	5	406	171	1	34	1	15	1	74	2	171	1	92	4	-1	0	-1	0	-1
Fu Jen Catholic University	410688	18	5	423	149	1	11	1	20	5	-1	2	101	1	149	1	122	1	-1	0	-1
Ming Chuan University	411409	19	5	547	204	1	12	1	29	3	80	1	122	4	204	0	-1	0	-1	0	-1
Ming Chuan University	411412	20	5	566	203	1	13	1	38	9	-1	1	113	2	203	1	179	0	-1	0	-1
Fu Jen Catholic University	411071	21	5	767	206	2	55	1	62	6	186	1	206	4	-1	1	138	0	-1	0	-1
Fu Jen Catholic University	411034	22	4	465	219	1	23	1	46	3	-1	1	157	2	219	0	-1	0	-1	0	-1
Providence University	411073	23	4	491	191	2	131	1	25	2	104	1	191	0	-1	0	-1	0	-1	0	-1
Providence University	411471	24	3	137	88	1	11	1	38	1	88	3	-1	0	-1	0	-1	0	-1	0	-1
Chung Hua University	411468	25	3	161	130	1	10	1	21	3	-1	1	130	0	-1	0	-1	0	-1	0	-1
Chung Hua University	411401	26	3	206	138	1	51	1	17	1	138	0	-1	0	-1	0	-1	0	-1	0	-1
TUNGHAI UNIVERSITY	411472	27	3	225	129	1	21	1	35	3	129	0	-1	0	-1	0	-1	0	-1	0	-1
Yuan Ze University	411480	28	3	234	126	1	39	1	49	2	126	2	-1	0	-1	0	-1	0	-1	0	-1
Chung Hua University	411400	29	3	238	134	1	27	1	134	1	77	0	-1	0	-1	0	-1	0	-1	0	-1
Chang Jung Christian University	411998	30	3	273	199	1	43	1	31	9	-1	1	199	0	-1	0	-1	0	-1	0	-1
Chung Hua University	411420	31	3	334	210	1	22	1	42	3	-1	4	210	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	411072	32	3	388	169	1	18	2	161	4	-1	2	169	0	-1	0	-1	0	-1	0	-1
Ming Chuan University	411408	33	2	30	20	1	10	1	20	3	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Providence University	411129	34	2	34	21	1	13	1	21	1	-1	1	-1	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	410747	35	2	47	30	1	17	1	30	5	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Chang Jung Christian University	412009	36	2	61	40	1	21	1	40	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	411077	36	2	61	40	1	21	1	40	1	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	411373	38	2	61	49	5	-1	1	12	1	-1	5	-1	2	-1	1	49	0	-1	0	-1
Fu Jen Catholic University	410625	39	2	70	47	1	23	1	47	6	-1	4	-1	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	411374	40	2	71	63	1	8	1	63	4	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Tamkang University	411264	41	2	81	72	1	72	1	9	7	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Tatung University	411314	42	2	86	53	1	33	1	53	4	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	411112	43	2	101	44	2	44	1	37	6	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Fu Jen Catholic University	411111	44	2	120	103	1	17	1	103	2	-1	0	-1	0	-1	0	-1	0	-1	0	-1
Providence University	411423	45	2	134	87	1	87	2	27	9	-1	2	-1	0	-1	0	-1	0	-1	0	-1
Ministry of Education	TOI-3	1	8	398	96	1	10	1	13	1	36	1	46	2	59	1	23	1	75	2	96
Ministry of Education	TOI-2	2	8	443	100	1	8	1	12	1	86	1	46	4	26	1	35	1	100	1	70
Ministry of Education	TOI-1	3	8	480	107	1	3	1	5	2	107	1	70	4	86	1	26	1	44	1	59
Ministry of Education	TOI-4	4	7	817	187	1	10	1	15	2	-1	2	137	3	52	1	125	4	111	4	187
